sample_id,Monocyte,NK,B,DC,T_cell
cal_0,0.15763900480954418,0.001596180568187,0.1494002089256444,0.12131836374095019,0.18731704080697364
cal_1,0.0846361574371462,0.0356476747174109,0.20319505819042788,0.0842514912313493,0.23922744381711913
cal_2,0.08479286185220761,0.117008152426465,0.22356034624642357,0.1071751741583192,0.08416991131616919
cal_3,0.0143917465275609,0.003957928851499003,0.1367785564156231,0.0019119742543967,0.12443281663922856
cal_4,0.12174771521251065,0.022453435883704,0.1422445988881142,0.1782832114215219,0.10816250235764191
cal_5,0.202476251549489,0.1522597250767701,0.0128072186663713,0.12006445144212101,0.0570407080492607
cal_6,0.0016249118810488,0.1610650469228014,0.17235411552000882,0.0387651173466933,0.029100841246622267
cal_7,0.0234267789595901,0.0069005833713583,0.2536818178344001,0.045120768028203,0.1920348635311907
cal_8,0.09193534963099487,0.0601928799340544,0.06345209500842479,0.0250262507185022,0.0701683174793225
cal_9,0.02673750445731439,0.035062921556749505,0.06989043273732531,0.1062878967840238,0.025402948463188108
cal_10,0.2080764027014506,0.05817053567144159,0.08845191280156861,0.10898998572948139,0.12936784183237782
cal_11,0.1016390991036672,0.13344991597747818,0.1679300604707265,0.053801976746692404,0.08231731527899666
cal_12,0.11368388692832171,0.11378015895601351,0.1327527039135651,0.1142615934619893,0.018394823522722592
cal_13,0.08577857945132761,0.0661994370466168,0.02809551836348531,0.0353766380246569,0.012297948237733114
cal_14,0.0776732280231589,0.1366694928331078,0.1532082496869726,0.0494593588760378,0.044752634411992676
cal_15,0.10828405007637619,0.0690078685610018,0.142207020896918,0.16831535149570698,0.013167910521230286
cal_16,0.09889044594684027,0.046895722336790596,0.1455230964896324,0.14516050976021092,0.0523572893847129
cal_17,0.0764616281235746,0.0138372237755818,0.16701317159978543,0.0923156061985626,0.1373219557793769
cal_18,0.16221137687344866,0.0257793765143349,0.05132086229570543,0.13577984946390528,0.05197300620599449
cal_19,0.035803223558367396,0.024256257501196102,0.1956909740998902,0.06183119612069939,0.14540675707487782
cal_20,0.1902207873578594,0.1497418438575515,0.12494454801466288,0.1400588563116033,0.025364614714270872
cal_21,0.1159248780885379,0.10893710735906381,0.0697175103121202,0.132668662005406,0.05596334929884439
cal_22,0.20620373390408786,0.11989268510657729,0.0987492026578137,0.1713023135335085,0.013757909283646397
cal_23,0.1030104499841612,0.11011907096551427,0.1363679715051116,0.060921966043564604,0.06833734629596805
cal_24,0.19819214157317683,0.1549290071445302,0.12734338267050999,0.1603727005206796,0.0102338612819603
cal_25,0.0288449245208996,0.055179001901224906,0.0761544245167039,0.0143912856610118,0.022260769696680394
cal_26,0.04141662123641021,0.08504968540391969,0.1533775228030451,0.0695860494537544,0.04015842780823242
cal_27,0.16769812333959783,0.0416588420163848,0.1496433293714421,0.1367810300929158,0.13890167187135166
cal_28,0.1267419964981748,0.009401787234907,0.1171004954696564,0.077028102459897,0.17621619816326017
cal_29,0.033363572021539,0.024579702941087703,0.2096415280629042,0.0906770253977577,0.12774842017437127
cal_30,0.0036563132153466,0.12934635823179202,0.1610745287564357,0.0182607972527347,0.009811022803658753
cal_31,0.10311686687335271,0.1421468423599472,0.2028270937222455,0.10122847980267319,0.06256861235594591
cal_32,0.034147204897043204,0.18187878926064951,0.1989025132313075,0.0916270228621548,0.040456018557324946
cal_33,0.1030332928903363,0.020719987202240102,0.1788811871050039,0.0749652452044863,0.18622926295543607
cal_34,0.0918026501297482,0.093143817716158,0.20265960335965869,0.07001512314432393,0.13130327537602204
cal_35,0.0693620520153885,0.060663045538442414,0.010975163474929106,0.041180251581379695,0.021506112072111394
cal_36,0.0210920926485733,0.10925329132832387,0.0865564006192079,0.0173327470275256,0.06112174225957778
cal_37,0.14503426164729538,0.03848464575481489,0.006440463009578401,0.0377982633077562,0.06231090447630683
cal_38,0.0733758256333534,0.1904458268553011,0.10503313075006229,0.0267286866775596,0.03876554224828399
cal_39,0.10802171012755696,0.047148720205290894,0.055400763768782224,0.1174367952732151,0.0011629855281894974
cal_40,0.0037150555159979892,0.09717357012895439,0.05148308602505414,0.0166917040321146,0.16163329721954478
cal_41,0.1515875113516666,0.0664070937926307,0.11039226915755639,0.1106459950769985,0.0849266692878517
cal_42,0.054542704580809995,0.04288723896478361,0.1976137451588012,0.1198689510561004,0.08940022060317887
cal_43,0.15389125154562971,0.022090842466243498,0.0027608313150024877,0.1107419004891519,0.06247934509466621
cal_44,0.040794826778555296,0.1361739033535455,0.2645565896817174,0.0876742319068649,0.08150322159521739
cal_45,0.11101164187693138,0.0053499806852779,0.08796282895662941,0.1106665905061763,0.08295788031716317
cal_46,0.008779525803121399,0.11551611449177501,0.1341630947693794,0.0746786262653979,0.04725213275752721
cal_47,0.08559942561777409,0.0013111859012765043,0.1879633347381993,0.0896011234600254,0.18527287122599823
cal_48,0.06961998867679811,0.025420340013626905,0.21744554707130812,0.0878548229321587,0.17379038118422369
cal_49,0.07355727919104829,0.0927445037692748,0.1722320394333614,0.0819183806249358,0.07112648079632744
cal_50,0.0566347656221633,0.1772368368911969,0.16019438757493304,0.1361528687065433,0.09656050769716049
cal_51,0.17667266742115012,0.08761906663867339,0.100715377125176,0.13140551080754947,0.05836345918386121
cal_52,0.007695498933896899,0.1052388447315033,0.19734642507379327,0.08281194712943821,0.0016001030796486404
cal_53,0.1076937093506285,0.14477099937643131,0.156128372087263,0.0898680608886424,0.029183056563075627
cal_54,0.0744946889139609,0.018346425162889396,0.23126269806854427,0.1425742539050152,0.1448366818375684
cal_55,0.0970220813054859,0.10868169602108729,0.05589804214246749,0.05499307460631939,0.010754685829340194
cal_56,0.08153324178764279,0.0331914676942056,0.1489115136867426,0.09403748272519569,0.1695986957399116
cal_57,0.060653692744338496,0.2121967114329173,0.2172589058071147,0.061290617339352815,0.004425225075699396
cal_58,0.0014044106190422012,0.10409670809150519,0.1421490318655885,0.0243884949070499,0.015068310732252677
cal_59,0.17064978336971362,0.0745162721640068,0.2017602206824209,0.1647257257032924,0.1331680322618673
cal_60,0.06428878204179539,0.005345797804268035,0.17329382371996688,0.1196916617537633,0.12323675159115388
cal_61,0.1658547483609274,0.018699639740993403,0.11824955977089742,0.1517940758150679,0.11361063727924692
cal_62,0.07933258075315411,0.06719525729585969,0.14003390961650752,0.11238107293283989,0.039790121956736535
cal_63,0.05826574301102921,0.0053202500726152995,0.2398805322442468,0.0967623767940394,0.20670406192085244
cal_64,0.11640246877655408,0.0639917336836181,0.1541947858732271,0.1862482374697173,0.020357313298767832
cal_65,0.012929485100953202,0.022163240073919902,0.1622073649416409,0.0195388972346144,0.15190230463637955
cal_66,0.09489780503523879,0.08892008091817409,0.12428251738894192,0.0763325394109607,0.0539276860297313
cal_67,0.1656224027953898,0.0324971637491616,0.1371556574745456,0.1254080818311364,0.14487278302466972
cal_68,0.04592399523450552,0.010675488511840601,0.0700367516871907,0.041074304600510196,0.08556194585060306
cal_69,0.13318340672360518,0.09671647131597638,0.05001971314692749,0.0245139136201297,0.038066639205364294
cal_70,0.1064029077531044,0.08209210614587902,0.007630993591115215,0.0166564159258166,0.015285394173685296
cal_71,0.08833636789901902,0.056404022624457206,0.1077079937667538,0.0543531738632683,0.08528713421157158
cal_72,0.11844537009924708,0.1254566115587881,0.1516292395887025,0.11907225667277149,0.02554581596219571
cal_73,0.1200230224108968,0.2533340855665581,0.186784828301646,0.08388382262814319,0.030410057482158526
cal_74,0.03366504779894851,0.070906114987916,0.08878602187555051,0.0564995868575057,0.004954594452358518
cal_75,0.0708879317367784,0.0443545128480699,0.17792527960667479,0.0811760516438535,0.21199164274534688
cal_76,0.1341207054342931,0.05182535642494811,0.05720311693825039,0.0675457597169623,0.0424535425470291
cal_77,0.11820630275316363,0.018809805791594903,0.04238651063061272,0.0397958214590787,0.13960677908984098
cal_78,0.019012022724570702,0.0895739226863412,0.0587550326084354,0.0573396552883659,0.1071705287424639
cal_79,0.11440027028359773,0.0716438880778938,0.0659721792878263,0.06620698374896751,0.04252155970018773
cal_80,0.07856187934919859,0.1468979934304824,0.19103586302280584,0.1395125321154185,0.016812790624476937
cal_81,0.0241549136164068,0.09139726474078108,0.23557703883933478,0.0880986340620606,0.08023608531786708
cal_82,0.0261316063327785,0.0138405034963565,0.010308639206421666,0.0004952192841866,0.0024776605624454717
cal_83,0.17554380947898895,0.1302636635816377,0.035810818391335,0.1050155927833442,0.02392466574756119
cal_84,0.0454360673683188,0.06504180542131849,0.20710376642815728,0.11106545933142131,0.07643257742563953
cal_85,0.06001980307578769,0.0385142090118534,0.1631348213799734,0.0975259102720878,0.0871144772321426
cal_86,0.06733704612519503,0.046096099061620405,0.1453971763206085,0.0629555325803994,0.10368262060610572
cal_87,0.0706457882371439,0.0084631434849964,0.2303165610484178,0.14954765323049568,0.1598778395400623
cal_88,0.037782363131388996,0.0821276796593563,0.1439865859130443,0.09877952133498041,0.0008617219730642778
cal_89,0.14484708065335683,0.029096705261045,0.026746712982624102,0.0384777377819593,0.16221271641158302
cal_90,0.06793128195700189,0.22337585565647092,0.12177061530987199,0.0498826093700811,0.08355660873787141
cal_91,0.13288683742355822,0.06047968738093551,0.016952273859035104,0.0437262364163056,0.011728533596508578
cal_92,0.10384711538592462,0.07327489571912629,0.1995621915367272,0.1093250700182486,0.12080935236114754
cal_93,0.1236890141824446,0.0977108380333496,0.1625374120207792,0.1114787416201006,0.0770368735581281
cal_94,0.0446931698321688,0.008474205276147501,0.0962115124472882,0.1613725713646253,0.011993592539408626
cal_95,0.1295423791378062,0.014477904586543099,0.17114051725894472,0.16064847193062198,0.1255565869348111
cal_96,0.07875466754426859,0.25414820000424043,0.1059604601706935,0.0210732682706738,0.09050634055995221
cal_97,0.1312410861762643,0.1143357336382728,0.1047909293178958,0.1498243536328444,0.028128036386699362
cal_98,0.022647371598924507,0.1373572942764777,0.06340197092651118,0.0088624793240243,0.10546518917407688
cal_99,0.0960657763151179,0.0131419717860859,0.2026974775756865,0.1624034381509886,0.1495018285040947
cal_100,0.10690170711983579,0.0276796484267934,0.1999254540496881,0.11572835930140661,0.16341912829561456
cal_101,0.09381007819589969,0.0007995411096178989,0.1942695414972039,0.1808443553171619,0.10643569532664632
cal_102,0.09414272281565841,0.20138295100328518,0.1206457739424737,0.0889041425674993,0.07549861963005569
cal_103,0.164796928377604,0.0677535443744012,0.1523359518329983,0.17933101005194768,0.07004826617960827
cal_104,0.0940069578137398,0.0038098684174041,0.18691616530072983,0.183160763209419,0.09395249428161401
cal_105,0.10182375935334649,0.0045536653254715995,0.15276611187841768,0.1194785696787815,0.1396649910928413
cal_106,0.07137079053936708,0.0199492765080829,0.20130952424466692,0.08199235637271998,0.17073869354476312
cal_107,0.13606549411753188,0.1109557506390168,0.1328067689660089,0.1862647248838174,0.02834823851632559
cal_108,0.010308564064598,0.039935202064172504,0.09811458267888062,0.0878714960247761,0.019383510367276702
cal_109,0.15177648164114893,0.121068040733672,0.1869952027391657,0.163747907111362,0.05395574212321608
cal_110,0.1440667575236546,0.1927355666031681,0.0608135200797326,0.0345092536565616,0.022364557557503606
cal_111,0.07746862346607279,0.0162497348088274,0.11662368616292568,0.11122075769417353,0.06662185624154582
cal_112,0.08876277458978821,0.0082699544649278,0.16291624335147648,0.1035894607568012,0.1563595284131974
cal_113,0.0674748441077115,0.018187306380966297,0.21896868262623398,0.10388818738356559,0.1643679547383171
cal_114,0.12768821377342499,0.0404103464657116,0.06669535698747198,0.0779900964158358,0.07598312389212497
cal_115,0.011259363483656103,0.08863602521208239,0.18612818646449392,0.0646668394421201,0.04408469507283441
cal_116,0.048577147502331004,0.0747767902435357,0.19708495293881378,0.10682856465818896,0.06405669711064593
cal_117,0.0447935267532419,0.0473343267554263,0.1864836747296969,0.19181996878580854,0.00787705680539319
cal_118,0.11983721282328968,0.056460514426896806,0.1263243793342771,0.1579250484765558,0.03177602739146901
cal_119,0.11080718939026599,0.1226880603498525,0.10152558400496378,0.0981485536910671,0.008503801530141797
cal_120,0.0715323044860392,0.0110846375541615,0.0127429617753196,0.0246394615543491,0.045234453517951745
cal_121,0.10381672851172119,0.0637117662949123,0.21261640796166098,0.15839718435908523,0.09432416905557817
cal_122,0.06647651015473321,0.12181874046362931,0.198871206160328,0.050204050962854796,0.09332489881154488
cal_123,0.16582426130608857,0.013163721439961498,0.05883550408136751,0.07917830260124908,0.15864520087628797
cal_124,0.005057429635507902,0.1490429782436684,0.2032669369850535,0.0258790251529053,0.023287495687483895
cal_125,0.1380916986679119,0.03959799169165819,0.1603560536248272,0.1117362512509581,0.14711349631160653
cal_126,0.0419425748343913,0.21425918738418637,0.10446868365675001,0.0203006955318019,0.08814859858064567
cal_127,0.12089081095565557,0.0633378602843776,0.15682519896968616,0.17958338944066,0.0347947564750139
cal_128,0.034121435698317396,0.010104368026806705,0.1289695151352362,0.016621653359807066,0.1363648750300528
cal_129,0.0660441972925971,0.011133709715281201,0.2097113455192843,0.07859209386940849,0.18602982490886844
cal_130,0.0393870408092316,0.1903494545581239,0.05401211334818391,0.0330373512030818,0.12998764066075003
cal_131,0.10447452201607368,0.0080480061582279,0.1481427612741147,0.19403717327208758,0.06662811803897381
cal_132,0.0465114501396344,0.1016607690740099,0.00755705459415007,0.0267061757655039,0.07429845873218094
cal_133,0.11440988617588413,0.0075795998332352,0.12738713108593808,0.1439014733588677,0.09031597806299307
cal_134,0.028035562363292105,0.0345973865092723,0.1429089669679765,0.033065484663323305,0.10328171217538218
cal_135,0.07783252324311049,0.0655156559581036,0.2108331958831564,0.1644440023347541,0.05870605338282864
cal_136,0.1215663486048936,0.1827757145459567,0.2156641135580336,0.1660727242417717,0.0116179691742207
cal_137,0.1403397134519208,0.1607736890753555,0.0047364099828790945,0.0284711395664207,0.04416875736104067
cal_138,0.18853579994547698,0.004904977280318995,0.0828104812053216,0.1834877356156646,0.0829535645295244
cal_139,0.012272670368191504,0.2007126792555995,0.19262123062589662,0.0494109617489033,0.04522972045264062
cal_140,0.0798324412213496,0.025154283987912307,0.2006420733059579,0.17419736876720066,0.0811228878492264
cal_141,0.11858103638073703,0.1369839043304481,0.08156173795700664,0.10604610431214011,0.04288722499161923
cal_142,0.08972766820851338,0.1874190774266315,0.2072607110609909,0.08822758555186591,0.021341701389845646
cal_143,0.014169102471382804,0.044607421483240206,0.1557156366442489,0.024540050084960276,0.07239913149888899
cal_144,0.0448089344322459,0.0106016492484679,0.2166102955655252,0.1387322055978251,0.11208541054173576
cal_145,0.0203034706723137,0.09813654189046901,0.08651594762125642,0.0217088501071126,0.053632946946437166
cal_146,0.0998606707153473,0.010620650517432703,0.17167097433452852,0.15225474834344338,0.10865623128783819
cal_147,0.12157009499958099,0.0208562739727063,0.16805100083521302,0.14351499445124702,0.1252498064560828
cal_148,0.07520187901992138,0.15899820876633197,0.06171073670532412,0.0638102086357677,0.08589576814924144
cal_149,0.028632985473445102,0.21507121279315142,0.2093309832436839,0.009950965816404256,0.012941797558153889
cal_150,0.010959792455449098,0.1000668265634687,0.14878949263948188,0.02034998665291088,0.017412957871860146
cal_151,0.07772186795796751,0.0572370296449171,0.2143988965898323,0.1129707967977518,0.12191288036313108
cal_152,0.0444881942199142,0.05648655271149619,0.16295819595689812,0.0008488966373399,0.0611345225858253
cal_153,0.13224994074621776,0.019675181043702708,0.1526167527540051,0.13909227628041942,0.1260992250002298
cal_154,0.012228025856654699,0.1095205194361285,0.17840845679107784,0.0423277882607206,0.014332093435251325
cal_155,0.16065698620182378,0.0353382327425478,0.20648369570856348,0.12700255611442052,0.2047998781522578
cal_156,0.0037757375945774024,0.0617145667855256,0.10538571738492797,0.0653616077826854,0.017914684664109226
cal_157,0.0635286989627924,0.08953530210608289,0.1505300686853504,0.0716482171726185,0.05287522601769956
cal_158,0.02434383634821871,0.030587596569636298,0.013695329901842912,0.031690712037457,0.024239187060515532
cal_159,0.0794768021053871,0.06326950038196019,0.2107639441616957,0.1104492494777617,0.11652198150619969
cal_160,0.04681456445577281,0.146712270343059,0.1408405385382007,0.038427726361807704,0.0025151294557557158
cal_161,0.05906272732665913,0.0921598201904868,0.1615474056079247,0.0949123603039478,0.03353794592089132
cal_162,0.17841920368855813,0.1121993528633736,0.009468901109405604,0.022892249713829,0.05279649477018039
cal_163,0.0418624354883335,0.1013042173637494,0.16716064489526766,0.0953907402481741,0.012328143260774027
cal_164,0.035894701109670496,0.1527673296205564,0.2607051056323486,0.111058818605069,0.03277366037903867
cal_165,0.05007599446991029,0.09268693877447999,0.04053991863915246,0.0091472091787551,0.011218212492430713
cal_166,0.0951895679282397,0.1016663864334416,0.213138315594596,0.09559264092282307,0.11106887851831282
cal_167,0.0491072686306589,0.19010554878844657,0.1539709486959013,0.043762329783216904,0.030789650534893687
cal_168,0.0241812493688638,0.1248698851923132,0.12596514843266018,3.528683157268312e-05,0.023121231981896417
cal_169,0.1308373004194209,0.1598382049998403,0.0998522093724867,0.056953130008368005,0.013898146844021908
cal_170,0.10611532779061983,0.0523623246106416,0.07277082646989441,0.0460322369044094,0.08049157411901137
cal_171,0.0252881954314101,0.027084592363665696,0.1441214283647665,0.09437890753921052,0.04794614065710673
cal_172,0.0524240049471834,0.0059848218583297,0.16394645478148162,0.10008836844705249,0.11029732181017737
cal_173,0.10873567408942911,0.06615996556559761,0.07684900722753807,0.11206785732315999,0.007356891955822231
cal_174,0.1508304822648798,0.0824245928448925,0.2038709646912582,0.1274263589973134,0.14485050256451265
cal_175,0.08895815470996268,0.030607095752864896,0.04463734732124658,0.0485192028034901,0.034805479991768196
cal_176,0.1398292254337591,0.0818928856168765,0.1587616835814718,0.1411487650055882,0.07554925839276627
cal_177,0.1374643358790081,0.16765301348213912,0.15489288290260428,0.0887724395368454,0.03593175380095348
cal_178,0.0478999308630251,0.1038691937274125,0.22234906435208768,0.0726506149839905,0.09372923120719329
cal_179,0.0784946249135646,0.0060855815679878005,0.22052710600880632,0.1454496406332421,0.14748648916336699
cal_180,0.06487963218521071,0.21092467953025829,0.09718549803220208,0.0825413011745256,0.13140080578388738
cal_181,0.0392769954569413,0.0476451990593867,0.1452650673691449,0.0361225237142278,0.10077429802654037
cal_182,0.106103632873829,0.038929443009708097,0.13997908335677478,0.13659237053312398,0.07056089896248119
cal_183,0.08788505564767313,0.007353171509215897,0.0636604841846482,0.0072299343217793,0.02434775649639742
cal_184,0.19420227427069686,0.2014478107391531,0.009978655135064296,0.066466599014783,0.06373346415598621
cal_185,0.11471359062553038,0.0114971386713911,0.1475427706291893,0.23094735720766318,0.019811872826245802
cal_186,0.04450369499017873,0.07437202916948049,0.049055882792941374,0.0495758366710803,0.030388270318656097
cal_187,0.1595223594543752,0.0876952200784439,0.033701252429130704,0.0398445832057072,0.06568386075341859
cal_188,0.022394405636892004,0.1021303245838648,0.102460203870822,0.0792805898030977,0.0565562545878297
cal_189,0.08506800195361319,0.16411496496856381,0.049557537649466854,0.12736129139581331,0.1568506832336845
cal_190,0.11457603426642271,0.047301244445246304,0.026724724021095686,0.0888953807649034,0.0051041557201486065
cal_191,0.0167486338990012,0.2242877612439969,0.1736779597999872,0.0649033601911184,0.09876450026211098
cal_192,0.016293978004108603,0.11321674505697948,0.10939895499166352,0.0200773436576857,0.040189148980013606
cal_193,0.11652691226296757,0.0809179127354927,0.044209891548384,0.0371336482123037,0.042685213061232685
cal_194,0.0940972549213612,0.04249265475037509,0.2061997966393706,0.1317221411656079,0.12608227799649052
cal_195,0.1005201805078085,0.1742716730133122,0.20956703190562948,0.034691805123881814,0.10112371937508291
cal_196,0.0041321824179089,0.2329424692560732,0.12600832925113542,0.0555636440997421,0.16662991704607694
cal_197,0.0461126820320088,0.018259209288055703,0.2207309520560558,0.09246519437326531,0.15611926581700142
cal_198,0.1082759503783918,0.039229742163410006,0.09251645180389742,0.0366744220155637,0.12488820214739649
