,Monocyte,NK,B,DC,T_cell
ext_44,0.1507941633462906,0.0012993629788979888,0.27308812737464905,0.1505933552980423,0.4242250323295593
ext_45,0.0015437477268278599,0.14514395594596863,0.21733203530311584,0.30211684107780457,0.33386343717575073
ext_46,0.0019260153640061617,0.020377280190587044,0.29587462544441223,0.14879906177520752,0.5330230593681335
ext_47,0.06889732927083969,0.4152001440525055,0.05926462635397911,0.27921703457832336,0.17742086946964264
ext_48,0.002405238803476095,0.0,0.20714057981967926,0.27582108974456787,0.5146331191062927
ext_49,0.07520823925733566,0.1965639740228653,0.16468217968940735,0.20429719984531403,0.35924842953681946
ext_50,0.13502997159957886,0.1570075899362564,0.0512373112142086,0.27992331981658936,0.3768017590045929
ext_51,0.29206106066703796,0.25590914487838745,0.08560081571340561,0.30234014987945557,0.06408882886171341
ext_52,0.006890664808452129,0.00023226477787829936,0.6595777869224548,0.21420130133628845,0.11909795552492142
ext_53,0.24375958740711212,0.03865841031074524,0.3100384771823883,0.2885873019695282,0.11895622313022614
ext_54,0.0029126375447958708,0.3347937762737274,0.0711708813905716,0.24558550119400024,0.3455372154712677
ext_55,0.000534582301042974,0.14666981995105743,0.5572131872177124,0.2643108069896698,0.031271640211343765
ext_56,0.16264770925045013,0.35510358214378357,0.043561901897192,0.2811162769794464,0.15757055580615997
ext_57,0.0053290510550141335,0.4800536632537842,0.12512126564979553,0.24189451336860657,0.14760148525238037
ext_58,0.39160919189453125,0.10393274575471878,0.034394197165966034,0.3599974513053894,0.11006641387939453
ext_59,0.03058399260044098,0.003130939556285739,0.21547013521194458,0.27672940492630005,0.47408556938171387
ext_60,0.0030712115112692118,0.5887529850006104,0.05199182406067848,0.19604076445102692,0.160143181681633
ext_61,0.004689617548137903,0.4987536668777466,0.0649646446108818,0.25509345531463623,0.1764986664056778
ext_62,0.15115158259868622,0.0009044640464708209,0.0857359990477562,0.2805071473121643,0.4817008078098297
ext_63,0.32199233770370483,0.10958180576562881,0.15922611951828003,0.3615604341030121,0.04763928800821304
ext_64,7.372362597379833e-05,0.08051630109548569,0.5382629632949829,0.3524306118488312,0.028716418892145157
ext_65,0.0624777227640152,0.0012800093973055482,0.4777924418449402,0.40898391604423523,0.04946587607264519
ext_66,0.030199451372027397,0.1856839954853058,0.09084895998239517,0.2884616255760193,0.404805988073349
ext_67,0.31744250655174255,0.21632985770702362,0.07194654643535614,0.28557172417640686,0.10870936512947083
ext_68,0.3587764799594879,0.003741113469004631,0.1832919716835022,0.3282879590988159,0.12590250372886658
ext_69,0.04677830636501312,0.004271732643246651,0.5946002006530762,0.30000483989715576,0.05434500053524971
ext_70,0.11495678126811981,0.06671217828989029,0.3831518292427063,0.40930378437042236,0.025875454768538475
