cell_type,MAE,CCC,Pearson
Monocyte,0.05179536604885829,0.9131739177005697,0.9629411139353302
NK,0.03610041923734173,0.951563816113649,0.9579038892975497
B,0.042293441797622275,0.9488817629629986,0.9563841334663652
DC,0.127966951083601,0.47530367717382277,0.8297559602350337
T_cell,0.034119470581157885,0.9552055070987844,0.9633930618570857
