,Monocyte,NK,B,DC,T_cell
ext_40,0.02440479025244713,0.011648462153971195,0.015998655930161476,0.02388569340109825,0.018287602812051773
ext_41,0.022951550781726837,0.012557515874505043,0.02248149923980236,0.02504853904247284,0.022887837141752243
ext_42,0.024460308253765106,0.009041020646691322,0.02387680858373642,0.02690761722624302,0.022469662129878998
ext_43,0.023729391396045685,0.015832694247364998,0.021871289238333702,0.02528158575296402,0.02694704197347164
ext_44,0.023770498111844063,0.0038716436829417944,0.01827313005924225,0.02316390536725521,0.019295837730169296
ext_45,0.004770470317453146,0.017254726961255074,0.017639821395277977,0.015228488482534885,0.02289198711514473
ext_46,0.005909515544772148,0.016343610361218452,0.01944536156952381,0.01616840250790119,0.023722955957055092
ext_47,0.023645684123039246,0.021726198494434357,0.01608411967754364,0.02462220937013626,0.021152086555957794
ext_48,0.00593184120953083,0.0,0.018293151631951332,0.015143434517085552,0.016670329496264458
ext_49,0.02343110367655754,0.018640201538801193,0.017279325053095818,0.02324400655925274,0.022185031324625015
ext_50,0.024179909378290176,0.017570432275533676,0.015559752471745014,0.024419082328677177,0.019722798839211464
ext_51,0.023320553824305534,0.0176384374499321,0.015965944156050682,0.025101998820900917,0.019656594842672348
ext_52,0.012048372067511082,0.0011634387774392962,0.030991220846772194,0.02118169330060482,0.03006334789097309
ext_53,0.024488454684615135,0.013862807303667068,0.020576493814587593,0.02595524676144123,0.02490108087658882
ext_54,0.007885455153882504,0.022154830396175385,0.01618228107690811,0.016549836844205856,0.02232205867767334
ext_55,0.0021303913090378046,0.014683532528579235,0.025996288284659386,0.01636894792318344,0.028676846995949745
ext_56,0.023259632289409637,0.020729705691337585,0.01510323490947485,0.024237679317593575,0.019791051745414734
ext_57,0.011230161413550377,0.024029551073908806,0.01672005094587803,0.018270161002874374,0.023810844868421555
ext_58,0.023989522829651833,0.015277016907930374,0.016190340742468834,0.027736635878682137,0.018757907673716545
ext_59,0.022396715357899666,0.006300484761595726,0.017942344769835472,0.022295180708169937,0.01955219730734825
