score,nominal,coverage_clip,mean_width,efficiency
absolute_error,0.8,0.8788,0.24748999565292207,3.550850601785221
absolute_error,0.9,0.95,0.2888398418191937,3.2890199427358624
absolute_error,0.95,0.974,0.3159628956922343,3.082640440631773
normalized_residual,0.8,0.8284,0.3631608734309454,2.281082739375885
normalized_residual,0.9,0.9008,0.40221903999441666,2.2395757297131045
normalized_residual,0.95,0.9444,0.43382641140389006,2.1769075721873667
