cohort,basis,cell_type,true_mean,pred_mean,mean_signed_deviation,MAE
GSE107572,5type,Monocyte,0.2883593654735974,0.39755463260548407,0.10919526713188665,0.1091952671318866
GSE107572,5type,NK,0.1234555548341917,0.01962155080612518,-0.10383400402806651,0.10383400402806651
GSE107572,5type,B,0.05667328494283151,0.1781123869187313,0.12143910197589979,0.12143910197589977
GSE107572,5type,DC,0.03594749646466279,0.042898383972005134,0.0069508875073423446,0.024148412360455212
GSE107572,5type,T_cell,0.4955642982847163,0.3618130456976542,-0.1337512525870621,0.13375125258706216
