scenario,kind,params,n_types_used,n_samples,MAE,RMSE,Pearson,CCC,mean_std,mean_interval_width,coverage90_clip,conformal_width90_clip,uncertainty_error_corr,AUROC_fail_gt0.10,n_fail_gt0.10,AUROC_fail_gt0.15,n_fail_gt0.15,reject_high_mae_retain50,full_mae,reject_high_delta_vs_all
batch_shift_small,batch_shift,{'shift_size': 0.5},5,500,0.07880012345171686,0.09506514433091375,0.8543389019887997,0.8542585615031175,0.03785818277146609,0.11623052017256268,0.956,0.29008685179133425,0.6048331655543531,0.7928249263622976,112,,0,0.0662760557683301,0.07880012345171684,-0.01252406768338675
batch_shift_large,batch_shift,{'shift_size': 2.0},5,500,0.08047337531732936,0.09730039991797952,0.8529140796897187,0.8520732796806876,0.038844916468649175,0.11821370874882123,0.9492,0.28775367375998284,0.6126137378817852,0.7797937356760887,126,,0,0.06711872372479674,0.08047337531732934,-0.013354651592532601
reference_reduction_1,ref_reduction,{'n_remove': 1},4,500,0.09712828101028101,0.12374050749691838,0.8052254507168648,0.7970176365509432,0.034314919676580756,0.10676101669592027,0.928,0.3900689854186905,0.19944772348219827,0.6241666666666668,200,0.5853128245067498,72,0.08701402020465969,0.097128281010281,-0.010114260805621306
