sample_id,cell_type,mean,std,q0.05,q0.25,q0.75,q0.95,interval_width,disagreement
cal_0,B,0.17642299830913544,0.024982208386063576,0.13654065132141113,0.15749473869800568,0.1939537525177002,0.20856256783008575,0.07202191650867462,0.14160402673946446
cal_0,DC,0.014856934547424316,0.03879962116479874,0.0,0.0,0.0,0.11186163872480392,0.11186163872480392,2.6115478213537022
cal_0,Monocyte,0.38983967900276184,0.03240746259689331,0.32721760869026184,0.3710525631904602,0.4125876724720001,0.4374302327632904,0.11021262407302856,0.08313022894050102
cal_0,NK,0.00994438398629427,0.014766420237720013,0.0,0.0,0.015548579394817352,0.04207529500126839,0.04207529500126839,1.4848989549359808
cal_0,T_cell,0.4089359939098358,0.02853918820619583,0.3568907082080841,0.39530912041664124,0.42841774225234985,0.44897425174713135,0.09208354353904724,0.06978888611746764
cal_1,B,0.24383938312530518,0.02560211904346943,0.1912926286458969,0.2310110330581665,0.26029619574546814,0.2762608826160431,0.08496825397014618,0.10499582825943513
cal_1,DC,0.0382777638733387,0.08237256854772568,0.0,0.0,0.004228835925459862,0.2408568263053894,0.2408568263053894,2.1519686285910153
cal_1,Monocyte,0.1538657546043396,0.06187118589878082,0.016855865716934204,0.15374933183193207,0.19167999923229218,0.21049202978610992,0.19363616406917572,0.40211145122425646
cal_1,NK,0.03949379548430443,0.028865063562989235,0.0,0.01581498049199581,0.06357630342245102,0.08747082203626633,0.08747082203626633,0.7308757211168406
cal_1,T_cell,0.5245232582092285,0.02673679031431675,0.486710786819458,0.5046069025993347,0.5428332090377808,0.5677660703659058,0.08105528354644775,0.05097350667702245
cal_2,B,0.3717271685600281,0.031537674367427826,0.3192923367023468,0.3546122908592224,0.39415937662124634,0.41802382469177246,0.09873148798942566,0.08484091609765088
cal_2,DC,0.16164474189281464,0.08582694083452225,0.0728050246834755,0.10927096009254456,0.17683666944503784,0.3541683852672577,0.2813633605837822,0.530960268301401
cal_2,Monocyte,0.09138332307338715,0.05035565793514252,0.0,0.07015954703092575,0.1268109381198883,0.15126407146453857,0.15126407146453857,0.5510376590740397
cal_2,NK,0.0733468234539032,0.040460746735334396,0.0,0.057165831327438354,0.10368587076663971,0.12392640858888626,0.12392640858888626,0.5516359034199213
cal_2,T_cell,0.30189791321754456,0.03348299115896225,0.2582537531852722,0.2803361713886261,0.32112938165664673,0.3609846532344818,0.1027309000492096,0.11090831895135214
cal_3,B,0.19356068968772888,0.03068414330482483,0.15017858147621155,0.16921982169151306,0.22119975090026855,0.24191564321517944,0.0917370617389679,0.15852465585383552
cal_3,DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
