split,row_sum_min,row_sum_mean,row_sum_max,has_negative,has_na,has_inf,needs_renormalization,max_abs_sum_dev
calibration,0.9999998806160875,0.9999999985635941,1.0000001061707735,False,False,False,False,1.1938391253352165e-07
test,0.9999998733401299,0.9999999987895754,1.000000110885594,False,False,False,False,1.2665987014770508e-07
