sample_id,Monocyte,NK,B,DC,T_cell
cal_0,0.38983967900276184,0.00994438398629427,0.17642299830913544,0.014856934547424316,0.4089359939098358
cal_1,0.1538657546043396,0.03949379548430443,0.24383938312530518,0.0382777638733387,0.5245232582092285
cal_2,0.09138332307338715,0.0733468234539032,0.3717271685600281,0.16164474189281464,0.30189791321754456
cal_3,0.0,0.041959382593631744,0.19356068968772888,0.0,0.7644798755645752
cal_4,0.5196083188056946,0.031573157757520676,0.23627494275569916,0.0017863166285678744,0.2107573002576828
cal_5,0.5483008027076721,0.09484253078699112,0.14439241588115692,0.00044521118979901075,0.21201904118061066
cal_6,0.0007425544899888337,0.0648484081029892,0.20181532204151154,0.0,0.7325935959815979
cal_7,0.019485609605908394,0.01272103562951088,0.35072970390319824,0.0,0.6170636415481567
cal_8,0.3672076165676117,0.003017556155100465,0.13305379450321198,0.0,0.4967210292816162
cal_9,0.1336662769317627,0.04218115657567978,0.6474012732505798,0.005263096187263727,0.1714882105588913
cal_10,0.49572935700416565,0.0245656780898571,0.11856763064861298,0.0022061921190470457,0.3589310944080353
cal_11,0.1698625385761261,0.06118384003639221,0.23968011140823364,0.023289751261472702,0.5059837102890015
cal_12,0.24205194413661957,0.07383696734905243,0.2774713337421417,0.12762261927127838,0.2790171504020691
cal_13,0.34605276584625244,0.03005450963973999,0.1736433058977127,0.0,0.45024949312210083
cal_14,0.33483394980430603,0.0708850771188736,0.20939674973487854,0.00011802368680946529,0.38476619124412537
cal_15,0.22422796487808228,0.052038803696632385,0.40945759415626526,0.0837090015411377,0.2305665761232376
cal_16,0.361820787191391,0.004980333615094423,0.26913246512413025,0.01778237335383892,0.34628406167030334
cal_17,0.10206872969865799,0.008243723772466183,0.2642402648925781,0.0973782166838646,0.5280690789222717
cal_18,0.39626049995422363,0.0353725329041481,0.2847679555416107,0.0019195671193301678,0.2816794514656067
cal_19,0.06832569092512131,0.023248067125678062,0.2627338171005249,0.010907832533121109,0.6347845792770386
cal_20,0.44489967823028564,0.11782952398061752,0.15254509449005127,0.017484067007899284,0.2672416567802429
cal_21,0.20097780227661133,0.06551070511341095,0.3434656262397766,0.025795741006731987,0.3642500936985016
cal_22,0.5910391807556152,0.12359663099050522,0.10767160356044769,0.003544515697285533,0.1741480976343155
cal_23,0.20113424956798553,0.13998943567276,0.20011894404888153,0.006053426302969456,0.45270398259162903
cal_24,0.45816871523857117,0.07858027517795563,0.131811261177063,0.013204574584960938,0.3182351291179657
cal_25,0.0006419092533178627,0.06529392302036285,0.46149590611457825,0.0,0.47256824374198914
cal_26,0.10453387349843979,0.033421266824007034,0.27915534377098083,0.3529510498046875,0.22993844747543335
cal_27,0.4067685008049011,0.020855462178587914,0.16594061255455017,0.01759522408246994,0.38884010910987854
cal_28,0.34655797481536865,0.021801145747303963,0.1245771124958992,0.004176079295575619,0.5028876662254333
cal_29,0.045935653150081635,0.07324166595935822,0.24288016557693481,0.010450992733240128,0.6274914741516113
cal_30,0.0,0.12293390184640884,0.3303968906402588,0.0,0.5466692447662354
cal_31,0.17741160094738007,0.15189619362354279,0.21001039445400238,0.03427393361926079,0.42640790343284607
cal_32,0.0450192391872406,0.10049551725387573,0.21744655072689056,0.014086692593991756,0.6229519248008728
cal_33,0.23791038990020752,0.00613110838457942,0.2487998604774475,0.012899506837129593,0.4942591190338135
cal_34,0.10407240688800812,0.10996805876493454,0.24200290441513062,0.12885317206382751,0.4151034951210022
cal_35,0.21436339616775513,0.06742033362388611,0.4256238639354706,0.0004305845941416919,0.29216185212135315
cal_36,0.0028974830638617277,0.23245328664779663,0.13443198800086975,0.0,0.6302172541618347
cal_37,0.49588149785995483,0.07627348601818085,0.15640106797218323,0.0,0.2714439332485199
cal_38,0.17797109484672546,0.305675208568573,0.23894758522510529,0.0,0.27740609645843506
cal_39,0.44940516352653503,0.04896671697497368,0.3260037899017334,0.0007808430236764252,0.174843430519104
cal_40,0.1604805737733841,0.12345587462186813,0.4851755201816559,0.0,0.2308880239725113
cal_41,0.266997367143631,0.08284112811088562,0.20158988237380981,0.020903460681438446,0.42766818404197693
cal_42,0.06496453285217285,0.10139554738998413,0.41778916120529175,0.021963367238640785,0.3938874304294586
cal_43,0.5044580101966858,0.03824393451213837,0.213389053940773,0.00029258651193231344,0.24361643195152283
cal_44,0.0599634163081646,0.06688737124204636,0.265287846326828,0.014497306197881699,0.5933641195297241
cal_45,0.28856518864631653,0.0014679215382784605,0.26838186383247375,0.021701853722333908,0.41988319158554077
cal_46,0.11472706496715546,0.0767400860786438,0.3202017843723297,0.006588784512132406,0.4817422926425934
