cell_type,MAE,CCC,true_mean,pred_mean
B,0.115166707445342,0.5877476084256263,0.15476403410146297,0.262410187907896
CD4_T,0.2248054871120757,0.22218147067110694,0.13671938675955772,0.3607092220729015
CD8_T,0.13939243867611492,-0.0034518444517536457,0.14003600658174964,0.00135209237064779
DC,0.0918986884568744,0.6531864187588123,0.1454288335210493,0.05353014506417489
Monocyte,0.08279231149207338,0.8070737622585912,0.14137994575345555,0.2215168771170907
NK,0.055648204717145454,0.773797923155861,0.13979412975493874,0.10046320464375975
other_T,0.14185939270425638,-7.733982412784878e-05,0.14187766352778572,1.8270823529379628e-05
