B,CD4_T,CD8_T,DC,Monocyte,NK,other_T
0.1808756894710182,0.36518058122150104,0.0,0.0,0.4250689637990482,0.028874765508432612,0.0
0.2594764380509814,0.45193703809414437,0.0,0.006555232433622182,0.19295948050086292,0.08907181092038922,0.0
0.3686440260510128,0.2599067284523248,0.0,0.1838326896192455,0.09038440625888526,0.09723214961853159,0.0
0.20877785634104137,0.6576160768617875,0.0,0.0,0.0,0.13360606679717119,0.0
0.24310059589002705,0.1822548971890554,0.0,0.0,0.5412844275208127,0.0333600794001049,0.0
0.1531992378119406,0.16978366649755353,0.0,0.0,0.5641935589378062,0.1128235367526997,0.0
0.21445609487730027,0.6330622709482955,0.0,0.0,0.0,0.15248163417440427,0.0
0.36538905657503745,0.5441939506179824,0.0,0.0,0.028294894724289366,0.06212209808269083,0.0
0.13030044576825237,0.4528405144174278,0.0,0.0,0.3983366360295787,0.018522403784741178,0.0
0.6694470068399053,0.14631524789365402,0.0,0.0,0.1516021380980317,0.032635607168408916,0.0
0.12037131955636636,0.312243546747298,0.0,0.0,0.5208085540999371,0.04657657959639862,0.0
0.2524496327919775,0.43334185225394006,0.0,0.0,0.20312361146140534,0.11108490349267704,0.0
0.28192807714226364,0.23532205869414727,0.0,0.13378851219522964,0.25434221996230144,0.0946191320060581,0.0
0.17987660376128506,0.3868514277740786,0.0,0.0,0.36849987397059925,0.0647720944940371,0.0
0.2142308852561453,0.3270504082916482,0.0,0.0,0.3542227658630622,0.1044959405891442,0.0
0.41935861605926467,0.19631396733874076,0.0,0.08400735910051048,0.2406306520882151,0.0596894054132689,0.0
0.2771068639672882,0.31840320241238196,0.0,0.0,0.399722254699147,0.00476767892118281,0.0
0.2598336107849284,0.47227245112023347,0.0,0.11841871471573488,0.10695929846677314,0.04251592491233015,0.0
0.29316517719649676,0.24410750280817564,0.0,0.0,0.41743879034878795,0.045288529646539594,0.0
0.27326990819385355,0.5499260397410942,0.0,0.0,0.092852815862334,0.08395123620271822,0.0
0.16665188208508555,0.21418755566231304,0.0,0.0,0.47085679541296277,0.14830376683963875,0.0
0.3603085769815338,0.3122594248860938,0.0,0.0,0.2348965806422589,0.09253541749011354,0.0
0.11928285393118838,0.1321346425267591,0.0,0.0,0.6067584871496957,0.1418240163923567,0.0
0.21413093591580853,0.3652743640612342,0.0,0.0,0.21936825055917317,0.2012264494637841,0.0
0.1425401451120684,0.2626737471429296,0.0,0.0,0.48441618604788617,0.11036992169711586,0.0
0.4855877078243858,0.40352842563686664,0.0,0.0,0.0,0.11088386653874747,0.0
0.2792822886209629,0.20023735998835213,0.0,0.36764730557821235,0.11134901123227621,0.04148403458019646,0.0
0.17334722309209297,0.3391923606346311,0.0,0.0,0.4408555528003234,0.04660486347295246,0.0
0.12769513147544573,0.43387896155050676,0.0,0.0,0.37227584871702546,0.06615005825702205,0.0
0.2582867402967888,0.5283943994581564,0.0,0.0,0.06355976834590579,0.14975909189914913,0.0
0.35003003097814966,0.45249222357096197,0.0,0.0,0.0,0.19747774545088825,0.0
0.23337953155976385,0.34130203822522737,0.0,0.0,0.21169579417781792,0.2136226360371909,0.0
0.23290324984698946,0.5262390809617945,0.0,0.0,0.06267811610423418,0.17817955308698197,0.0
0.2545516531066062,0.4450610280156645,0.0,0.0,0.27182370496496255,0.028563613912766704,0.0
0.24678503879948832,0.3431507578077331,0.0,0.14264342915439168,0.10605563757749333,0.16136513666089355,0.0
0.43900937649071325,0.2461378231413143,0.0,0.0,0.23170136094642887,0.0831514394215435,0.0
0.15673799354843138,0.5038533879705934,0.0,0.0,0.0,0.33940861848097525,0.0
0.16784924205077967,0.22036848693874464,0.0,0.0,0.5138121954677738,0.09797007554270169,0.0
0.25981953118621565,0.20618817630611205,0.0,0.0,0.1900780953941029,0.34391419711356946,0.0
0.33752462674160966,0.14845311781949305,0.0,0.0,0.4678744968139693,0.04614775862492804,0.0
0.4981228871614344,0.1825953524416512,0.0,0.0,0.17546550370541472,0.14381625669149967,0.0
0.21528836890928518,0.3583900071994717,0.0,0.0,0.2976473971425555,0.1286742267486876,0.0
0.4427092944798802,0.32440523778585806,0.0,0.0,0.08734135788872929,0.14554410984553237,0.0
0.22161773459567438,0.20673109530454772,0.0,0.0,0.5248978691023971,0.046753300997380884,0.0
0.2729768955286365,0.5137475069203147,0.0,0.0,0.08291020105091018,0.13036539650013867,0.0
0.27307877569562217,0.3944753874617126,0.0,0.0,0.33244583684266515,0.0,0.0
0.33272053352009967,0.40689003792097594,0.0,0.0,0.13567916801408178,0.12471026054484252,0.0
0.2583636880386573,0.35428468615129627,0.0,0.0,0.21661221423936974,0.1707394115706767,0.0
0.4283903637316993,0.31185474816223785,0.0,0.0,0.14916364090776008,0.11059124719830281,0.0
0.19910011411395012,0.567711556547808,0.0,0.0,0.17123528603854052,0.06195304329970133,0.0
0.5586576242886044,0.20893957955904907,0.0,0.043554821389938755,0.08382697233612167,0.10502100242628601,0.0
0.16022887867356403,0.27010730631028923,0.0,0.0,0.49491036194412164,0.07475345307202513,0.0
0.29823785951910353,0.5474693897115744,0.0,0.0,0.12542298400005947,0.028869766769262534,0.0
0.20443525194864406,0.3712593529424767,0.0,0.0,0.2368050253513631,0.18750036975751608,0.0
