B,CD4_T,CD8_T,DC,Monocyte,NK,other_T
997.0445040854108,9.813456837894881,24.43828404409751,12.119160601428828,5.563923816058679,7.106613527726833,13.226375623707156
1123.6070585110886,12.79335370832154,19.486825491230384,5.329699144291712,8.296941260441468,10.474495859649954,19.951550911259158
845.8824341902663,48.7284307902933,34.72846122039829,16.658827116421595,45.8240038165021,63.75904176480378,41.791868525393234
814.912334181121,4.528032813978462,5.523942844602247,59.873624537099644,14.567665669830456,4.893503384464419,6.771890589234874
826.288414253061,41.1717107643519,31.97266552300591,33.57367891512014,30.081473166716673,24.24929187161338,27.443820826265828
1264.1791259386664,561.274490143209,508.279693238655,441.5273758096817,519.1004286786774,461.1033622291736,519.8642785387798
1875.3770160454892,278.25249511255817,362.4287302082656,1576.173378092883,1061.8050546213751,462.07461777809976,490.8790439423226
1770.6423731462987,134.35256436638542,182.47524595061606,1571.333637041412,1012.8591371895211,226.3437129551394,262.2448017633231
812.1576051185193,11.779944587507979,28.47100306941968,948.3374406264712,193.15375777623098,22.897775800382703,26.79737824713656
1268.6513498752245,116.72913608404686,337.27865076760276,1293.661103718983,586.4552709805688,364.89140244815195,466.9829975529919
1822.9881251999223,1694.0707593798656,1497.6574750891284,1361.2345640514272,1061.4674782185905,1204.9052557437772,1279.2386198036786
498.0469957782262,5.688649718552428,5.94604730126115,6.542525989513168,5.68707907313855,5.208130352275922,4.801100528313015
502.612919708462,12.884488673747018,13.001154797351989,4.635354111195777,3.0220970605041195,3.5310986825676585,9.988108231839089
1212.74652060745,32.407789874759345,36.24782194206798,112.49985087293607,24.240935154971947,29.861430031708228,34.94366590985725
943.6549201455509,42.89589360278534,62.352675388552896,991.4108688169636,487.33613163862026,58.18692073081469,85.91693126473585
1175.0743017546595,97.22261512635804,235.08016820029658,1295.5786991590564,650.6854899489388,279.3658809865146,329.500739571476
476.4483859627394,13.790941426918264,14.378777188688394,54.448249723729866,91.28762945362485,22.48353181504072,18.777473787852205
482.07320863669196,2.0241861441957965,1.9407680481266718,3.1076992486625072,1.6161002892772551,1.5087788961239819,2.055650803293899
639.7775300876908,9.832131709328598,10.75561573127103,392.215584188229,285.11332278274153,29.600487205471744,15.561258788363338
1298.0763198599882,1245.8143570013344,737.6595390762226,176.12625582037893,91.28619574030779,243.6635332007895,467.37460152281636
