interval,nominal,target_type,marginal,simultaneous,simultaneous_n,simultaneous_lo,simultaneous_hi,mean_width,product_of_marginals
raw_bootstrap_q05_q95,,none,0.3896,0.002,1,0.00035313639455927456,0.011240706705146758,0.10990225843711268,0.005812454502400001
marginal_conformal,0.8,marginal_per_cell_type,0.8784,0.532,266,0.48818610813244,0.5753259340780207,0.24732631301978358,0.5190376263408
marginal_conformal,0.9,marginal_per_cell_type,0.95,0.78,390,0.7416313019131544,0.8140990674283763,0.2887562050949119,0.7717210722815999
marginal_conformal,0.95,marginal_per_cell_type,0.974,0.878,439,0.8463952769261602,0.9038407216849063,0.315826094120498,0.8756598966278399
bonferroni_simultaneous_conformal,0.9,family_wise,0.9892,0.946,473,0.9225734384893529,0.9626256498189425,0.34443267698220226,0.946988619279872
