cell_type,alpha_k,order_statistic,n_cal,radius
Monocyte,0.019999999999999997,491,500,0.1882028312633527
NK,0.019999999999999997,491,500,0.2329424692560732
B,0.019999999999999997,491,500,0.2425286222346932
DC,0.019999999999999997,491,500,0.2012731373271558
T_cell,0.019999999999999997,491,500,0.2047998781522578
