cell_type,MAE,RMSE,Pearson_r,CCC
Monocyte,0.06847520780622264,0.08244054999683575,0.9630037318529776,0.8511830530338357
NK,0.08889877725539,0.10739059872512337,0.9089462734267568,0.5892554553225817
B,0.10847768778280574,0.12165155484814051,0.8498153690488991,0.614807187022583
DC,0.09148120893974018,0.10713488106480604,0.8902154449111066,0.6579116856654251
T_cell,0.06545555393864881,0.08148471044516015,0.8943081113031702,0.8697014660012312
