Monocyte,NK,B,DC,T_cell
0.4011194544243936,0.0,0.1804370710815354,0.0,0.41844347449407104
0.17878268177565207,0.012021792831790657,0.2548484192008631,0.0037653166895184314,0.5505817895021758
0.07786975382602043,0.05858208686413305,0.35981328765497667,0.18020961280338488,0.323525258851485
0.0,0.00475890793005319,0.19613381275636765,0.0,0.7991072793135792
0.5272247861475172,0.009113386586530513,0.235960978855423,0.0,0.22770084841052937
0.5500582042454889,0.09035773008567996,0.14444618501218998,0.0,0.21513788065664105
0.0,0.03739289610744959,0.20456579686942875,0.0,0.7580413070231216
0.007111453833371516,0.0,0.36233445093174,0.0,0.6305540952348884
0.3674232053815037,0.0,0.13638023868568397,0.0,0.49619655593281237
0.1370104866403265,0.021054436009818885,0.6596217405091084,0.0,0.18231333684074627
0.5042244828621812,0.0,0.11620872217386294,0.0,0.3795667949639559
0.18686801790365243,0.04132371132928097,0.24734436427341824,0.0,0.5244639064936483
0.24163949834245846,0.061698701767507316,0.27478255926661843,0.1300156402873305,0.29186360033608527
0.35222298236445054,0.001138632600194303,0.1747734858492579,0.0,0.47186489918609736
0.3377571189861108,0.056583246149458234,0.20926408281145825,0.0,0.39639555205297267
0.22825140153165774,0.03509199217229169,0.41104331468682737,0.08031513214053979,0.24529815946868344
0.37313103715334145,0.0,0.2776276930634726,0.0,0.3492412697831859
0.08628712465056691,0.0,0.2600040644659943,0.113257712081984,0.5404510988014548
0.40208909092376244,0.011555844656776981,0.2870011540489084,0.0,0.29935391037055215
0.07468750771394769,0.0,0.2694170098669422,0.0,0.6558954824191101
0.4557141672621139,0.11790203802956274,0.15782999346391854,0.0,0.26855380124440487
0.21897556947102223,0.04847429347092021,0.35334981869183424,0.0,0.37920031836622325
0.5935266288752783,0.12516768238770098,0.10875568617537218,0.0,0.1725500025616484
0.20288969215501046,0.14148548282782103,0.20583654920560215,0.0,0.4497882758115663
0.4691227510171302,0.06943949881979358,0.13494595518168778,0.0,0.32649179498138853
