cell_type,MAE,CCC,true_mean,pred_mean
B,0.10847768778280574,0.6144912156190923,0.15476403410146297,0.25408477458242
DC,0.09148120893974018,0.6575831710439224,0.1454288335210493,0.053947624581309125
Monocyte,0.06847520780622264,0.8510351421416458,0.14137994575345555,0.2043410829500719
NK,0.08889877725539,0.5889266303162526,0.13979412975493874,0.05131879654457676
T_cell,0.0654555539386488,0.8696908018726457,0.41863305686909313,0.43630772134162227
