scenario,auroc_fail_gt0.10,auroc_fail_gt0.15,failure_rate_gt0.10,failure_rate_gt0.15,spearman_score_mae,top10_minus_bottom10
baseline,0.7840893637688199,,0.29,0.0,0.5981666806667226,0.0506180570905523
gaussian_noise_low,0.7408931878987446,,0.226,0.0,0.5357032628130513,0.0458984333160396
gaussian_noise_medium,0.7582141045154743,,0.27,0.0,0.5666597386389545,0.0460628410536564
gaussian_noise_high,0.7192298753999893,0.6302286670384829,0.338,0.022,0.4093722294889179,0.0385294207958201
dropout_low,0.7754666666666666,0.4909638554216867,0.3,0.004,0.4985162660650641,0.0405557989880051
dropout_medium,0.6989080353074211,0.6923756627114366,0.386,0.068,0.3830097560390241,0.0539342285617849
dropout_high,0.5664685743814999,0.5666962145835386,0.548,0.142,0.1395918543674174,0.0372389747132566
low_depth_medium,0.7845194782145709,,0.236,0.0,0.5865607142428569,0.0467515511521143
low_depth_high,0.7934210526315788,,0.24,0.0,0.6018459913839656,0.0471781337268998
