donor,Monocyte,NK,B,T_cell
20,0.7075995852167476,0.2924004147832524,0.0,0.0
21,0.8314490936755078,0.16855090632449227,0.0,0.0
34,0.7142365000204574,0.2857634999795427,0.0,0.0
41,0.8639456207595547,0.13605437924044525,0.0,0.0
43,1.0,0.0,0.0,0.0
44,0.9708011135657457,0.02919888643425418,0.0,0.0
45,0.8047784279195471,0.19522157208045293,0.0,0.0
46,0.8922360857267579,0.10776391427324215,0.0,0.0
50,1.0,0.0,0.0,0.0
52,0.8560378137860494,0.14396218621395057,0.0,0.0
53,0.9832927402433408,0.016707259756659223,0.0,0.0
54,0.6699699333556505,0.33003006664434964,0.0,0.0
56,0.829599045327102,0.170400954672898,0.0,0.0
58,0.8696362767937431,0.13036372320625697,0.0,0.0
