donor,Monocyte,NK,B,T_cell
20,0.25690430314707774,0.036608863198458574,0.25690430314707774,0.449582530507386
21,0.307175779804114,0.022648223832847227,0.055824436754810754,0.614351559608228
34,0.27295280618685747,0.043801009761611207,0.13734057167781633,0.5459056123737149
41,0.31120761313408163,0.03473948343893126,0.07531893334213013,0.5787339700848569
43,0.2846272940782011,0.13568553124190147,0.010432586523495343,0.5692545881564022
44,0.36531595354861524,0.06927048047998133,0.18491069760186515,0.3805028683695383
45,0.2788105773483971,0.04591285301426994,0.11765541494053877,0.5576211546967942
46,0.294575668904018,0.044401390573902626,0.07187160271404347,0.589151337808036
50,0.2900560518817459,0.05306009859875371,0.2900560518817459,0.3668277976377545
52,0.3234711821949816,0.08928969124837395,0.11353838495043855,0.47370074160620584
53,0.2931200045023233,0.020631691196902776,0.10000829529612741,0.5862400090046466
54,0.2604331132890554,0.07826184335859751,0.1404388167742364,0.5208662265781108
56,0.31725923553531865,0.04924466128055662,0.10162114710470015,0.5318749560794246
58,0.20600455908689716,0.1759817636524114,0.20600455908689716,0.4120091181737943
