donor,sample_MAE,mean_std
44,0.28996273488756763,0.02969538327306509
34,0.3416230845751851,0.026809610426425934
43,0.35768635296089946,0.0
50,0.35497197405912706,0.0
45,0.3376382848186665,0.027536779642105103
46,0.33051146653574937,0.029898679815232754
20,0.3532434168272318,0.024018963798880577
21,0.33508800563209995,0.03037672396749258
52,0.2936195632783222,0.028188614174723625
53,0.343124158669645,0.022176171652972698
54,0.32810774839927825,0.02711070002987981
41,0.32702645171349354,0.027846463955938816
56,0.3167480553173527,0.02834002673625946
58,0.3277413067285527,0.03626614436507225
