sample_id,Monocyte,NK,B,T_cell
20,0.048037927597761154,0.048037927597761154,0.0,0.0
21,0.06075344979763031,0.06075344607234001,0.0,0.0
34,0.05361922085285187,0.05361922085285187,0.0,0.0
41,0.05569292604923248,0.05569292977452278,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.05939076840877533,0.05939076468348503,0.0,0.0
45,0.055073559284210205,0.055073559284210205,0.0,0.0
46,0.05979736149311066,0.05979735776782036,0.0,0.0
50,0.0,0.0,0.0,0.0
52,0.05637722834944725,0.05637722834944725,0.0,0.0
53,0.044352345168590546,0.04435234144330025,0.0,0.0
54,0.04815639182925224,0.04883795231580734,0.011448455974459648,0.0
56,0.05668005347251892,0.05668005347251892,0.0,0.0
58,0.0725322887301445,0.0725322887301445,0.0,0.0
