sample_id,Monocyte,NK,B,T_cell
20,0.7056900262832642,0.29430997371673584,0.0,0.0
21,0.8272612690925598,0.17273876070976257,0.0,0.0
34,0.7129383683204651,0.2870616018772125,0.0,0.0
41,0.8586031198501587,0.1413968801498413,0.0,0.0
43,1.0,0.0,0.0,0.0
44,0.945241391658783,0.05475854501128197,0.0,0.0
45,0.8011584281921387,0.19884157180786133,0.0,0.0
46,0.8853973150253296,0.11460267007350922,0.0,0.0
50,1.0,0.0,0.0,0.0
52,0.8516595363616943,0.14834046363830566,0.0,0.0
53,0.9577367901802063,0.04226323589682579,0.0,0.0
54,0.6677187085151672,0.3271164000034332,0.0050142016261816025,0.0
56,0.8234176635742188,0.17658235132694244,0.0,0.0
58,0.8614871501922607,0.13851280510425568,0.0,0.0
