method,MAE,RMSE,Pearson,Spearman,CCC,runtime_sec
NNLS (frozen baseline),0.08455768714456142,0.10123826011186983,0.8459030527053757,0.7685909227369795,0.843911347092518,0.007109165191650391
CalibDeconv (ensemble mean),0.08131046613515594,0.0979526344493126,0.8481114411903368,0.7778198328123856,0.8477429990014917,
nu-SVR (CIBERSORT-like),0.14728869808710573,0.18463391220471828,-0.28561962428081683,-0.21963404986144802,-0.08779640763865758,194.15036988258362
"OLS (naive, clip+norm)",0.0936303206820291,0.10918731756630311,0.8044168866782131,0.7392831412725501,0.8044123281331071,0.005688190460205078
