scenario,has_na,has_inf,row_sum_min,row_sum_max,index_aligned,columns_aligned
baseline,False,False,0.9999998845160007,1.0000000970321707,True,True
gaussian_noise_low,False,False,0.9999998863786459,1.0000001247390173,True,True
gaussian_noise_medium,False,False,0.9999998956918716,1.0000001024454832,True,True
gaussian_noise_high,False,False,0.9999998859129846,1.000000115018338,True,True
dropout_low,False,False,0.9999998835846782,1.000000135943992,True,True
dropout_medium,False,False,0.9999998947023414,1.0000001639127731,True,True
dropout_high,False,False,0.9999998733401299,1.000000113621354,True,True
low_depth_medium,False,False,0.9999998938292265,1.0000001210719347,True,True
low_depth_high,False,False,0.9999999180436134,1.0000001376029104,True,True
