scenario,perturbation,severity,params,n_samples,MAE,RMSE,Pearson,CCC,mean_uncertainty_std,mean_interval_width,coverage90_clip,conformal_width90_clip,uncertainty_error_corr,AUROC_fail_gt0.10,n_fail_gt0.10,AUROC_fail_gt0.15,n_fail_gt0.15
baseline,none,0.0,{},500,0.08162550932673678,0.09827735738110584,0.847659054499779,0.8472110549878037,0.034820978360947635,0.10864431166953,0.9492,0.288524371649322,0.6171116767764839,0.7981577246283129,136,,0
gaussian_noise_low,gaussian,0.1,{'noise_std': 0.1},500,0.0827701831700527,0.09989689203415006,0.8406651779815724,0.8404573767478798,0.03566818958981603,0.11102674607617374,0.9448,0.2892119891595574,0.6329356470365702,0.8121570202107116,149,,0
gaussian_noise_medium,gaussian,0.5,{'noise_std': 0.5},500,0.08013450178164767,0.09788284949613428,0.8470792256473553,0.8468650741190733,0.03798375843367103,0.11672554948157776,0.9416,0.28928826554566767,0.5130881689333883,0.7721774193548386,124,0.7377598926894701,3
gaussian_noise_high,gaussian,1.0,{'noise_std': 1.0},500,0.08681757945363772,0.1076441896400638,0.8173083480446047,0.8168542500686965,0.04233789382289397,0.12684225032973337,0.9068,0.28847926092037424,0.48357677440708663,0.7418817356778218,172,0.8173272357723576,8
dropout_low,dropout,0.1,{'dropout_rate': 0.1},500,0.08175144147585564,0.10112582296952884,0.8412418997105969,0.8403758039646227,0.04351557247654709,0.12957137579466507,0.9284,0.2880037835584491,0.3363393465966299,0.6739860449216786,137,0.5443548387096774,4
dropout_medium,dropout,0.3,{'dropout_rate': 0.3},500,0.09004834120640755,0.11587803318525206,0.7892007017198018,0.7886496919180956,0.04848569733756304,0.1503131503456705,0.8752,0.2902830924519157,0.32206524368909795,0.6677379224549036,182,0.7091687755499319,33
dropout_high,dropout,0.5,{'dropout_rate': 0.5},500,0.10248001629928692,0.13322894175923372,0.736915255559822,0.7342831123359417,0.06091303310081421,0.18206327228266894,0.814,0.28576647866520843,0.07306163281112414,0.524272,250,0.5059561596773592,61
low_depth_medium,low_depth,0.75,{'depth_fraction': 0.25},500,0.07754270380990406,0.0952109539914702,0.8581402365747614,0.85750054009184,0.04168463023253716,0.11976304991559883,0.9528,0.2881507116160089,0.5118099931692043,0.7050948509485095,90,,0
low_depth_high,low_depth,0.9,{'depth_fraction': 0.1},500,0.08218770483020205,0.09904218962281033,0.8446921490725937,0.84432677315616,0.03285181928318924,0.10584553661059326,0.9424,0.2888420838196618,0.5790088415606583,0.77290196753284,149,,0
