scenario,fraction_retained,n_retained,reject_high_mae,reject_low_mae,mean_absolute_error
dropout_medium,0.09999999999999998,49,0.0804014746967229,0.12254698068198386,0.0804014746967229
dropout_medium,0.050000000000000044,25,0.0763316209591011,0.12612037263616951,0.0763316209591011
dropout_medium,0.0,1,0.055611243541157526,0.16927321300746911,0.055611243541157526
dropout_high,1.0,500,0.11021757569634752,0.11021757569634753,0.11021757569634752
dropout_high,0.95,475,0.10881352364231256,0.11110379781333504,0.10881352364231256
dropout_high,0.9,450,0.10662072820702932,0.11116975939945133,0.10662072820702932
dropout_high,0.85,425,0.10511377297100132,0.11116051391846885,0.10511377297100132
dropout_high,0.8,400,0.10493022513447889,0.11181692887994064,0.10493022513447889
dropout_high,0.75,375,0.1043019102257241,0.11295436247564473,0.1043019102257241
dropout_high,0.7,350,0.10303394869446572,0.11465739897726708,0.10303394869446572
dropout_high,0.65,325,0.10273090965495284,0.11713146416890215,0.10273090965495284
dropout_high,0.6,300,0.1018189783557947,0.11789759979903873,0.1018189783557947
dropout_high,0.55,275,0.10065643176673988,0.11851657320317202,0.10065643176673988
dropout_high,0.5,250,0.101892167412332,0.11854298398036307,0.101892167412332
dropout_high,0.44999999999999996,224,0.1000490134036067,0.12163763438692102,0.1000490134036067
dropout_high,0.4,200,0.09869753954231074,0.12281547170717678,0.09869753954231074
dropout_high,0.35,175,0.0973774971044604,0.12412138405893773,0.0973774971044604
dropout_high,0.30000000000000004,150,0.09985798804086857,0.12697937203407175,0.09985798804086857
dropout_high,0.25,125,0.10200721535845589,0.12796457210821785,0.10200721535845589
dropout_high,0.19999999999999996,99,0.10316894301101188,0.13143223455451727,0.10316894301101188
dropout_high,0.15000000000000002,75,0.10487425910432675,0.1391391244733094,0.10487425910432675
dropout_high,0.09999999999999998,49,0.1008016141690722,0.14303196358377068,0.1008016141690722
dropout_high,0.050000000000000044,25,0.09337935547358464,0.13689456472301179,0.09337935547358464
dropout_high,0.0,1,0.08841144632246033,0.11806377607763156,0.08841144632246033
low_depth_medium,1.0,500,0.08106444678030292,0.08106444678030292,0.08106444678030292
low_depth_medium,0.95,475,0.07942270592147439,0.08261774908514626,0.07942270592147439
low_depth_medium,0.9,450,0.07809841719481234,0.08392848298023846,0.07809841719481234
low_depth_medium,0.85,425,0.07674731902541018,0.08512213024829601,0.07674731902541018
low_depth_medium,0.8,400,0.07539333052716873,0.08620208111463025,0.07539333052716873
low_depth_medium,0.75,375,0.07393435696383889,0.08764443060358948,0.07393435696383889
low_depth_medium,0.7,350,0.07216210169988214,0.08911075553158523,0.07216210169988214
low_depth_medium,0.65,325,0.07096516543607262,0.09024826898482516,0.07096516543607262
low_depth_medium,0.6,300,0.07023338608658311,0.09173759233049804,0.07023338608658311
low_depth_medium,0.55,275,0.06844394978804941,0.09319975132057914,0.06844394978804941
low_depth_medium,0.5,250,0.06752079494649797,0.09460809861410788,0.06752079494649797
low_depth_medium,0.44999999999999996,224,0.06624622813209069,0.09643771839546135,0.06624622813209069
low_depth_medium,0.4,200,0.06505472845501024,0.09731103782088261,0.06505472845501024
