scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
baseline,max_disagreement,0.75,0.08413513811079441,0.08316632853807321,0.002473003097266238,0.0015041935245450333
baseline,max_disagreement,0.5,0.08154905001635032,0.08177522001070599,-0.00011308499717785359,0.00011308499717781195
baseline,max_disagreement,0.25,0.07714955443989303,0.07424312572172939,-0.0045125805736351415,-0.007419009291798784
gaussian_noise_low,mean_std,0.9,0.07777192378911635,0.08287174971312074,-0.002154364917915208,0.002945461006089181
gaussian_noise_low,mean_std,0.75,0.07489844609465178,0.08588501843138888,-0.0050278426123797765,0.00595872972435732
gaussian_noise_low,mean_std,0.5,0.0690482241042714,0.09080435330979171,-0.010878064602760154,0.010878064602760154
gaussian_noise_low,mean_std,0.25,0.06205009953395958,0.09500981654417087,-0.017876189173071974,0.015083527837139316
gaussian_noise_low,max_std,0.9,0.07793563234092678,0.0818720671330071,-0.001990656366104779,0.0019457784259755417
gaussian_noise_low,max_std,0.75,0.07547141581146573,0.08525080699386378,-0.0044548728955658284,0.005324518286832225
gaussian_noise_low,max_std,0.5,0.06808447447345943,0.09176810294060367,-0.011841814233572126,0.011841814233572112
gaussian_noise_low,max_std,0.25,0.06395273384653485,0.09329090739372903,-0.015973554860496703,0.013364618686697471
gaussian_noise_low,mean_interval_width,0.9,0.07775854231321276,0.08285891213791083,-0.002167746393818795,0.002932623430879272
gaussian_noise_low,mean_interval_width,0.75,0.07472319723675432,0.08613166526136952,-0.005203091470277241,0.006205376554337963
gaussian_noise_low,mean_interval_width,0.5,0.06921471367650045,0.09063786373756264,-0.010711575030531106,0.010711575030531079
gaussian_noise_low,mean_interval_width,0.25,0.06131015904401764,0.09553556311786326,-0.018616129663013917,0.015609274410831708
gaussian_noise_low,max_interval_width,0.9,0.07846982176650898,0.08193343987166612,-0.00145646694052258,0.0020071511646345686
gaussian_noise_low,max_interval_width,0.75,0.07578728592463625,0.08534416058800928,-0.004139002782395304,0.005417871880977726
gaussian_noise_low,max_interval_width,0.5,0.06925428772566067,0.09059828968840243,-0.010672000981370888,0.010672000981370874
gaussian_noise_low,max_interval_width,0.25,0.06367267306409832,0.09234329705421747,-0.016253615642933233,0.012417008347185912
gaussian_noise_low,mean_disagreement,0.9,0.08121345399870122,0.0812998808986239,0.0012871652916696674,0.001373592191592346
gaussian_noise_low,mean_disagreement,0.75,0.08269274562946903,0.08238612663975259,0.002766456922437474,0.002459837932721032
gaussian_noise_low,mean_disagreement,0.5,0.08359753409810253,0.07625504331596054,0.003671245391070971,-0.0036712453910710124
gaussian_noise_low,mean_disagreement,0.25,0.07254677490886847,0.07162691793971908,-0.0073795137981630815,-0.008299370767312478
gaussian_noise_low,max_disagreement,0.9,0.08146032174599535,0.08055038929919839,0.0015340330389637946,0.0006241005921668319
gaussian_noise_low,max_disagreement,0.75,0.08217721191617662,0.07966116936226428,0.0022509232091450643,-0.0002651193447672784
gaussian_noise_low,max_disagreement,0.5,0.0839999494809567,0.07585262793310639,0.004073660773925139,-0.004073660773925167
gaussian_noise_low,max_disagreement,0.25,0.08072164674133338,0.07317351907959636,0.0007953580343018213,-0.006752769627435193
gaussian_noise_medium,mean_std,0.9,0.07956481610201602,0.08468290955242229,-0.002366436056407309,0.002751657393998963
gaussian_noise_medium,mean_std,0.75,0.07563244615038696,0.08849325077345585,-0.006298806008036367,0.006561998615032524
gaussian_noise_medium,mean_std,0.5,0.06911956371564283,0.09474294060120379,-0.012811688442780494,0.012811688442780467
gaussian_noise_medium,mean_std,0.25,0.06224525631332571,0.10082767018253236,-0.019685995845097615,0.018896418024109032
gaussian_noise_medium,max_std,0.9,0.07995416031419879,0.08361312225058791,-0.0019770918442245378,0.0016818700921645835
gaussian_noise_medium,max_std,0.75,0.07640584083824843,0.08695305805065837,-0.0055254113201748944,0.00502180589223504
gaussian_noise_medium,max_std,0.5,0.07113524890582118,0.09272725541102542,-0.010796003252602146,0.01079600325260209
gaussian_noise_medium,max_std,0.25,0.0668658344817181,0.09850748611894795,-0.015065417676705231,0.016576233960524628
gaussian_noise_medium,mean_interval_width,0.9,0.07984259852406314,0.08452344871428508,-0.0020886536343601853,0.0025921965558617505
gaussian_noise_medium,mean_interval_width,0.75,0.07551376367001962,0.0882934018429521,-0.006417488488403705,0.006362149684528778
