scenario,score_name,pearson_score_mae,spearman_score_mae,top10_uncertain_mae,bottom10_uncertain_mae,overall_mae,top10_minus_bottom10,auroc_fail_gt0.10,auroc_fail_gt0.15,failure_rate_gt0.10,failure_rate_gt0.15
gaussian_noise_high,max_std,0.28850817126807987,0.3085586742346969,0.09747703838387213,0.06750711241443508,0.08713090857968965,0.029969925969437053,0.6735372459286009,0.5945343000557725,0.338,0.022
gaussian_noise_high,mean_interval_width,0.3807679417992364,0.39395187980751917,0.100247015801688,0.05905977190058134,0.08713090857968965,0.04118724390110666,0.7102021845224262,0.6227923405837517,0.338,0.022
gaussian_noise_high,max_interval_width,0.25531281800748923,0.27972390289561155,0.09733218874592049,0.06578390605261784,0.08713090857968965,0.03154828269330265,0.6607733423908184,0.6055028815765012,0.338,0.022
gaussian_noise_high,mean_disagreement,-0.09679721367145556,-0.022588410353641415,0.07688557872514984,0.07955176577236776,0.08713090857968965,-0.0026661870472179244,0.49514649886483497,0.5435954638408627,0.338,0.022
gaussian_noise_high,max_disagreement,-0.11888701926626227,-0.06268383473533894,0.07773487492886133,0.08654999648827029,0.08713090857968965,-0.008815121559408959,0.4772698832657002,0.5545640453615913,0.338,0.022
dropout_low,mean_std,0.4812786171685598,0.49851626606506416,0.10579116463926282,0.06523536565125763,0.0829719634183169,0.04055579898800518,0.7754666666666666,0.49096385542168675,0.3,0.004
dropout_low,max_std,0.37652826121570493,0.39262621050484203,0.10143214555393319,0.06774749910798683,0.0829719634183169,0.03368464644594636,0.7230857142857143,0.5481927710843373,0.3,0.004
dropout_low,mean_interval_width,0.4673341767494833,0.47991119964479856,0.10619266834810256,0.06200760459367077,0.0829719634183169,0.04418506375443179,0.7660761904761906,0.5020080321285141,0.3,0.004
dropout_low,max_interval_width,0.3651569492617497,0.38072821091284365,0.09912717540461145,0.06717923173350814,0.0829719634183169,0.03194794367110332,0.7171428571428572,0.5552208835341366,0.3,0.004
dropout_low,mean_disagreement,-0.08788070676922934,-0.03496804387217548,0.0637655830618285,0.06854225644427729,0.0829719634183169,-0.00477667338244879,0.4493523809523809,0.3072289156626506,0.3,0.004
dropout_low,max_disagreement,-0.10271743151064583,-0.05657849831399326,0.06770312825659269,0.07222528903863666,0.0829719634183169,-0.0045221607820439685,0.444,0.31626506024096385,0.3,0.004
dropout_medium,mean_std,0.3939695755779579,0.38300975603902415,0.12583819878541608,0.0719039702236311,0.09202511080307255,0.05393422856178498,0.6989080353074211,0.6923756627114366,0.386,0.068
dropout_medium,max_std,0.30732551985563683,0.27562987051948207,0.11886837777789232,0.07466306047836233,0.09202511080307255,0.04420531729952999,0.6428752257345868,0.6600605907599091,0.386,0.068
dropout_medium,mean_interval_width,0.38337263484016604,0.36928400513602055,0.1238000152726396,0.07411431203711731,0.09202511080307255,0.049685703235522294,0.6931866128841708,0.6857485483463772,0.386,0.068
dropout_medium,max_interval_width,0.2701825858845642,0.24502763611054446,0.11796144631250727,0.07509417256766379,0.09202511080307255,0.042867273744843476,0.6293733439098075,0.6492678616510982,0.386,0.068
dropout_medium,mean_disagreement,-0.019728536367619932,0.02277637910551642,0.08107767120374267,0.07481548183852084,0.09202511080307255,0.006262189365221826,0.47565441933469477,0.44433223933350163,0.386,0.068
dropout_medium,max_disagreement,-0.08103224339385766,-0.03074633098532394,0.08230391016314523,0.08015620967110022,0.09202511080307255,0.0021477004920450044,0.44591652461561826,0.41706639737440043,0.386,0.068
dropout_high,mean_std,0.18006623678963163,0.13959185436741747,0.1356478108440998,0.09840883613084311,0.10811731410555055,0.037238974713256684,0.5664685743814999,0.5666962145835386,0.548,0.142
dropout_high,max_std,0.2359969941832015,0.18799179196716786,0.1351042535717778,0.09749012603389423,0.10811731410555055,0.03761412753788357,0.5956333570182804,0.5889884763124199,0.548,0.142
