cell_type,MAE,Pearson,Spearman,true_mean,pred_mean
Monocyte,0.1091952671318866,0.7622258879056075,0.6333333333333333,0.2883593654735975,0.39755463260548407
NK,0.10383400402806658,-0.12301178995928694,0.009901475429766743,0.12345555483419177,0.01962155080612519
B,0.12143910197589974,-0.25659702585817257,-0.33333333333333337,0.056673284942831574,0.1781123869187313
DC,0.024148412360455226,0.11939081774570871,-0.016666666666666666,0.035947496464662845,0.042898383972005176
T_cell,0.13375125258706214,0.5179493588535864,0.5166666666666667,0.4955642982847163,0.36181304569765427
